Examination,Date,Question Number,Question Type,Credit,Weight,Standard,Domain,Scoring Key,1,2,3,4,Blank,Question,Percentage Correct,,,,,,,,
Algebra I,Aug. '14,20,MC,2,1,A-REI,Reasoning with Equations and Inequalities,1,27.8%,44.5%,17.3%,9.9%,0.6%,https://docs.google.com/a/newvisions.org/document/d/1uilhBjrUBKsa7uu0l_8K0xFSfuQK3aQ4cX-KuOy9WNo/edit?usp=drivesdk,27.8%,,,,,,,,
Algebra I,Aug. '14,21,MC,2,1,S-ID,Interpreting Categorical and Quantitative Data,4,34.4%,14.4%,22.5%,27.7%,1.0%,https://docs.google.com/a/newvisions.org/document/d/1ljxIN0KD1vEbsfkGhpYuaOIn94wFI-q7KQQrxaqaUfU/edit?usp=drivesdk,27.7%,,,,,,,,
Algebra I,Aug. '14,22,MC,2,1,F-IF,Interpreting Functions,2,21.0%,37.4%,24.2%,16.7%,0.8%,https://docs.google.com/a/newvisions.org/document/d/1Lh5qEj3-_XNJ50NEaYJ1BSBNcakW_YYUo67WAiMbqxI/edit?usp=drivesdk,37.4%,,,,,,,,
Algebra I,Aug. '14,23,MC,2,1,F-IF,Interpreting Functions,2,16.6%,17.0%,31.7%,34.3%,0.4%,https://docs.google.com/a/newvisions.org/document/d/1p1078hJWJLPpVMsi6w2xn0fDo78Qf-xaWkI8_iW1blU/edit?usp=drivesdk,17.0%,,,,,,,,
Algebra I,Aug. '14,24,MC,2,1,F-IF,Interpreting Functions,4,31.2%,32.4%,24.6%,11.3%,0.6%,https://docs.google.com/a/newvisions.org/document/d/1ykrRx62FLANLB597b7fUqx1EVs7DXVNd0CFKYeAZkXA/edit?usp=drivesdk,11.3%,,,,,,,,
Algebra I,August '15,1,MC,2,1,F-BF,Building Functions,2,26.67%,50.48%,11.57%,11.15%,0.13%,https://docs.google.com/a/newvisions.org/document/d/1kQtaTyc5NUFrL7P0AP4QtVRIOO4bMsHeq8nvqTGGKV0/edit?usp=drivesdk,50.5%,,,,,,,,
Algebra I,August '15,2,MC,2,1,A-CED,Creating Equations,3,20.52%,21.48%,46.23%,11.49%,0.29%,https://docs.google.com/a/newvisions.org/document/d/1wMn6WssAjQ440K_ueswfH8isRorjm9gi8fBl2zKnmFw/edit?usp=drivesdk,46.2%,,,,,,,,
Algebra I,August '15,3,MC,2,1,A-SSE,Seeing Structure in Expressions,4,6.07%,9.85%,18.33%,65.61%,0.13%,https://docs.google.com/a/newvisions.org/document/d/1Q9duPVfzudfbMZJ7_LnL1ulltUdfw63wKYz3hXAWF9s/edit?usp=drivesdk,65.6%,,,,,,,,
Algebra I,August '15,4,MC,2,1,A-APR,Arithmetic with Polynomials and Rational Expressions,1,58.43%,20.10%,10.11%,10.94%,0.42%,https://docs.google.com/a/newvisions.org/document/d/1sLwTrA_4QEbt09IYhO25Lx0DXbHQp391dW1BcjFUY3o/edit?usp=drivesdk,58.4%,,,,,,,,
Algebra I,August '15,5,MC,2,1,A-CED,Creating Equations,4,7.41%,10.38%,29.96%,52.11%,0.13%,https://docs.google.com/a/newvisions.org/document/d/1FfGqdYkl1jMzKGYSW4vlAajDptOA4-IPA82D3UoAoBs/edit?usp=drivesdk,52.1%,,,,,,Standard,Total,Percent
Algebra I,August '15,6,MC,2,1,A-REI,Reasoning with Equations and Inequalities,3,17.62%,20.25%,46.95%,14.66%,0.52%,https://docs.google.com/a/newvisions.org/document/d/1XkcYyZ2Uxe6D9HNA8k8V51fiQ5YZhFm6eIz0aiEIzWg/edit?usp=drivesdk,47.0%,,,,,,A-APR,11,7.69%
Algebra I,August '15,7,MC,2,1,F-LE,"Linear, Quadratic, and Exponential Models",3,6.38%,46.17%,43.49%,3.72%,0.25%,https://docs.google.com/a/newvisions.org/document/d/1881WSXUwSrpexdvy051yOUr36pTPm4t271UYIaO0i1Q/edit?usp=drivesdk,43.5%,,,,,,A-CED,9,6.29%
Algebra I,August '15,8,MC,2,1,F-BF,Building Functions,4,8.26%,8.16%,37.18%,46.15%,0.25%,https://docs.google.com/a/newvisions.org/document/d/1n5l8NrEzFhdVeVC-lX3WQu22lYCZtIWGyfbmIFSsSdA/edit?usp=drivesdk,46.2%,,,,,,A-REI,22,15.38%
Algebra I,August '15,9,MC,2,1,A-SSE,Seeing Structure in Expressions,3,31.78%,14.10%,45.25%,8.75%,0.11%,https://docs.google.com/a/newvisions.org/document/d/1eiL9nyIXDSRX0qStmQFEMbTcWOJ9rORuBL_VCOzDG_I/edit?usp=drivesdk,45.3%,,,,,,A-SSE,22,15.38%
Algebra I,August '15,10,MC,2,1,A-REI,Reasoning with Equations and Inequalities,2,7.32%,48.66%,14.58%,29.12%,0.33%,https://docs.google.com/a/newvisions.org/document/d/1kiDn3QRWgThmPiALNYA0TtFmJ9PVlQnGD-u7QW9G44c/edit?usp=drivesdk,48.7%,,,,,,F-BF,9,6.29%
Algebra I,August '15,11,MC,2,1,F-IF,Interpreting Functions,2,18.97%,44.41%,11.05%,25.44%,0.13%,https://docs.google.com/a/newvisions.org/document/d/1y7fYF_NC6BY23vIHW7UvZOyW4U2IB2MVTYWlYqNVmhM/edit?usp=drivesdk,44.4%,,,,,,F-IF,40,27.97%
Algebra I,August '15,12,MC,2,1,F-IF,Interpreting Functions,3,26.67%,29.25%,30.21%,13.43%,0.44%,https://docs.google.com/a/newvisions.org/document/d/1RyPx962I-5qNBYzctEOWsAVDBjoZx5iRwE2qaDH2vP4/edit?usp=drivesdk,30.2%,,,,,,F-LE,14,9.79%
Algebra I,August '15,13,MC,2,1,A-SSE,Seeing Structure in Expressions,4,16.55%,19.62%,20.34%,43.31%,0.17%,https://docs.google.com/a/newvisions.org/document/d/1L0SZMQKGLaYGuEOvlYwOYmBaAQ03X9hqOeJKOQYWojs/edit?usp=drivesdk,43.3%,,,,,,N-Q,3,2.10%
Algebra I,August '15,14,MC,2,1,F-IF,Interpreting Functions,1,40.46%,13.05%,35.44%,10.57%,0.48%,https://docs.google.com/a/newvisions.org/document/d/18nIELUN56kBs0xXeI6rTazeRZ4-pYWzVjf73bjT1sYE/edit?usp=drivesdk,40.5%,,,,,,N-RN,3,2.10%
Algebra I,August '15,15,MC,2,1,F-IF,Interpreting Functions,1,22.49%,9.25%,40.00%,28.07%,0.19%,https://docs.google.com/a/newvisions.org/document/d/1-4eQ4hkx3pDQTQeRiR_3nznBqiP0FtOBxS4TtewDJ5Q/edit?usp=drivesdk,22.5%,,,,,,S-ID,10,6.99%
Algebra I,August '15,16,MC,2,1,F-IF,Interpreting Functions,2,16.02%,40.08%,19.02%,24.54%,0.34%,https://docs.google.com/a/newvisions.org/document/d/1okDGcsRxp6GmyVIKtQT9y-5P25upubsHLOTv5_VCB58/edit?usp=drivesdk,40.1%,,,,,,Grand Total,143,100.00%
Algebra I,August '15,17,MC,2,1,A-REI,Reasoning with Equations and Inequalities,2,16.49%,37.24%,12.59%,33.41%,0.27%,https://docs.google.com/a/newvisions.org/document/d/1rufPu3P8OTvapPQeCxNTsGe9bHUebzxR7MMxz5C-E-U/edit?usp=drivesdk,37.2%,,,,,,,,
Algebra I,August '15,18,MC,2,1,F-LE,"Linear, Quadratic, and Exponential Models",3,25.44%,22.72%,34.71%,16.76%,0.36%,https://docs.google.com/a/newvisions.org/document/d/1P6-EgGHt6IruZP581AzvRwtNDsrbunvj0Pa7hu-li_w/edit?usp=drivesdk,34.7%,,,,,,,,
Algebra I,August '15,19,MC,2,1,S-ID,Interpreting Categorical and Quantitative Data,1,29.02%,20.63%,36.59%,13.35%,0.40%,https://docs.google.com/a/newvisions.org/document/d/1uUROnp-ouJMblqGpYv162zxBvxmHH7G45nvVA7FhJEQ/edit?usp=drivesdk,29.0%,,,,,,,,
Algebra I,August '15,20,MC,2,1,A-SSE,Seeing Structure in Expressions,1,29.39%,29.48%,21.42%,19.25%,0.46%,https://docs.google.com/a/newvisions.org/document/d/1JT-z_IETDYhyLlsw_qrj8yEotb2dZwc5tzKRKkhj6Xc/edit?usp=drivesdk,29.4%,,,,,,,,
Algebra I,August '15,21,MC,2,1,F-IF,Interpreting Functions,4,22.09%,25.21%,27.93%,24.21%,0.56%,https://docs.google.com/a/newvisions.org/document/d/16ImNaM35ZMiJwzFzRZUWlhEDfEO_wblXFnvk9ZLXdzo/edit?usp=drivesdk,24.2%,,,,,,,,
Algebra I,August '15,22,MC,2,1,N-RN,The Real Number System,2,27.38%,37.62%,19.81%,14.94%,0.25%,https://docs.google.com/a/newvisions.org/document/d/13thdsPIJrj85Uz8rG1u-T6HnlHKPMF9UzJx6xxVTIfA/edit?usp=drivesdk,37.6%,,,,,,,,
Algebra I,August '15,23,MC,2,1,A-REI,Reasoning with Equations and Inequalities,3,39.87%,21.11%,28.51%,10.13%,0.38%,https://docs.google.com/a/newvisions.org/document/d/1umALkCgMHmMbCSASeabQGnpzvNjEBBUKLBKBnn57BKs/edit?usp=drivesdk,28.5%,,,,,,,,
Algebra I,August '15,24,MC,2,1,A-APR,Arithmetic with Polynomials and Rational Expressions,4,32.34%,22.39%,21.84%,23.07%,0.36%,https://docs.google.com/a/newvisions.org/document/d/12e1vYGGMAdZEdhYF0ZTwUEK0-N1K_xtovUcn1KN47YM/edit?usp=drivesdk,23.1%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
