Examination,Date,Question Number,Question Type,Standard,Cluster,Domain,Scoring Key,1,2,3,4,Blank,Question,Percentage Correct,Standard.Cluster,,
Algebra I,Jan. '15,11,MC,A-REI,D,Reasoning with Equations and Inequalities,4,18.12%,15.84%,26.07%,39.26%,0.70%,https://docs.google.com/a/newvisions.org/document/d/1pFpB7KQqZ5U-mHxUcQs0E-P0EmPdDRMe6YamwkXOQig/edit?usp=drivesdk,0.39,A-REI.D,,
Algebra I,Jan. '15,12,MC,F-BF,B,Building Functions,2,18.53%,37.25%,25.47%,17.85%,0.90%,https://docs.google.com/a/newvisions.org/document/d/1Q_zt6PKo-i7Tfo-enDlJeM15L3_WfTs_P5vWzMH_eGw/edit?usp=drivesdk,0.37,F-BF.B,,
Algebra I,Jan. '15,13,MC,A-CED,A,Creating Equations,3,16.09%,13.39%,54.32%,15.69%,0.50%,https://docs.google.com/a/newvisions.org/document/d/1lFve-Vyer4gc7PBN-hD-Su7nTURtqnyFhXGSeFZmTdo/edit?usp=drivesdk,0.54,A-CED.A,,
Algebra I,Jan. '15,14,MC,S-ID,A,Interpreting Categorical and Quantitative Data,4,9.88%,26.60%,16.55%,46.65%,0.33%,https://docs.google.com/a/newvisions.org/document/d/1ccDlBzQfhf1MuVrYsFHgChEO8mkI8dcHPlNv2S22JIA/edit?usp=drivesdk,0.47,S-ID.A,,
Algebra I,Jan. '15,15,MC,F-IF,B,Interpreting Functions,3,10.98%,30.51%,35.77%,22.36%,0.38%,https://docs.google.com/a/newvisions.org/document/d/1PH2Ixjgk-yMp2cchpMHHHsH0cl5kg2gnHTI_m2cV2Es/edit?usp=drivesdk,0.36,F-IF.B,,
Algebra I,Jan. '15,16,MC,A-CED,A,Creating Equations,1,33.24%,19.63%,26.95%,19.60%,0.58%,https://docs.google.com/a/newvisions.org/document/d/1Kd_UAUI4J1w3WH_tlCZI5iVTxTdwVxh_b22wsjgg-is/edit?usp=drivesdk,0.33,A-CED.A,,
Algebra I,Jan. '15,17,MC,A-REI,B,Reasoning with Equations and Inequalities,4,26.87%,20.48%,19.75%,32.24%,0.65%,https://docs.google.com/a/newvisions.org/document/d/1IjIHUMnLImdeoT0Jrusb09XyWhhin_6L7RIkkWt_29c/edit?usp=drivesdk,0.32,A-REI.B,,
Algebra I,Jan. '15,18,MC,A-REI,D,Reasoning with Equations and Inequalities,3,21.53%,22.91%,34.37%,20.56%,0.63%,https://docs.google.com/a/newvisions.org/document/d/1cSEhEFofktcT5q86hXKIR-cQ2qu0yYOzLd9OVhji5as/edit?usp=drivesdk,0.34,A-REI.D,,
Algebra I,Jan. '15,19,MC,A-SSE,B,Seeing Structure in Expressions,4,21.56%,14.49%,29.93%,33.39%,0.63%,https://docs.google.com/a/newvisions.org/document/d/1ipLRSwY15eB138zdqNdcB_wKpdQinmjCHZVtL_uMPU8/edit?usp=drivesdk,0.33,A-SSE.B,,
Algebra I,Jan. '15,20,MC,F-IF,A,Interpreting Functions,3,27.07%,22.56%,39.11%,9.98%,1.28%,https://docs.google.com/a/newvisions.org/document/d/1fVubOz7W61tGHtuEZ3TSeRYxP1uqYHEw5gFTLSofF-M/edit?usp=drivesdk,0.39,F-IF.A,,
Algebra I,Jan. '15,21,MC,F-IF,B,Interpreting Functions,1,18.95%,28.28%,37.43%,14.39%,0.95%,https://docs.google.com/a/newvisions.org/document/d/1zn9fNOLvVEmVyuFI6Cw6INwqmAYlOUvevW3gozwu1-Y/edit?usp=drivesdk,0.19,F-IF.B,,
Algebra I,Jan. '15,22,MC,A-SSE,A,Seeing Structure in Expressions,3,49.46%,16.19%,15.47%,18.38%,0.50%,https://docs.google.com/a/newvisions.org/document/d/16gwARlXk98teA3uHLittyCM04C5Am5CLTDajn1ZH0Bg/edit?usp=drivesdk,0.15,A-SSE.A,,
Algebra I,Jan. '15,23,MC,A-CED,A,Creating Equations,4,21.61%,31.86%,27.83%,17.97%,0.73%,https://docs.google.com/a/newvisions.org/document/d/1mAwrW5yncW4Yvw5uzucbt8JYXFPJ-5aUvq6uo5GEDqw/edit?usp=drivesdk,0.18,A-CED.A,,
Algebra I,Jan. '15,24,MC,A-APR,B,Arithmetic with Polynomials and Rational Expressions,1,9.02%,35.20%,42.39%,12.76%,0.63%,https://docs.google.com/a/newvisions.org/document/d/1ufWGr-1Hm1PELqcU-peaH-fV03I_0pjMZ6ljflT0RCA/edit?usp=drivesdk,0.09,A-APR.B,,
Algebra I,January '16,1,MC,A-SSE,B,Seeing Structure in Expressions,2,14.40%,50.30%,16.41%,18.66%,0.24%,https://docs.google.com/a/newvisions.org/document/d/100lSUTBzaCPS0v9egWTMFkV6KPkFDg0Ct7KWTjzqKXM/edit?usp=drivesdk,0.50,A-SSE.B,,
Algebra I,January '16,2,MC,N-Q,A,Quantities,2,9.14%,46.27%,17.64%,26.83%,0.12%,https://docs.google.com/a/newvisions.org/document/d/1lflKcJLTbM3j9j0Bi2ij_FM4y29VswwRwxV4Hh4AaGA/edit?usp=drivesdk,0.46,N-Q.A,,
Algebra I,January '16,3,MC,F-IF,A,Interpreting Functions,3,13.58%,22.59%,53.21%,10.06%,0.56%,https://docs.google.com/a/newvisions.org/document/d/1_DiGvcLLcWmYZSPIKSdLknbFuujZ94JvC7xy8sPxudc/edit?usp=drivesdk,0.53,F-IF.A,,
Algebra I,January '16,4,MC,N-RN,B,The Real Number System,1,38.22%,20.32%,17.92%,23.14%,0.40%,https://docs.google.com/a/newvisions.org/document/d/1FQj33krFomrned54caJh5i4Y4ifrxu8ZkUYefjbW2kQ/edit?usp=drivesdk,0.38,N-RN.B,,
Algebra I,January '16,5,MC,A-REI,D,Reasoning with Equations and Inequalities,2,30.71%,44.19%,13.61%,11.25%,0.24%,https://docs.google.com/a/newvisions.org/document/d/1gNK8LgSyyIO2VxoYaM9mawKYRbAPKR2indBiZUz0xaQ/edit?usp=drivesdk,0.44,A-REI.D,,
Algebra I,January '16,6,MC,A-CED,A,Creating Equations,3,18.53%,17.56%,41.41%,22.11%,0.39%,https://docs.google.com/a/newvisions.org/document/d/1A8u1wRuwndZJZvD4-zwY08AsAJK13gLN0HhlSZus8Ug/edit?usp=drivesdk,0.41,A-CED.A,,
Algebra I,January '16,7,MC,A-REI,B,Reasoning with Equations and Inequalities,4,22.56%,18.17%,26.99%,31.72%,0.56%,https://docs.google.com/a/newvisions.org/document/d/1MZoIYHTFLYAKcoUu6iQ4hAlffadjdMVHdG9z2mm4160/edit?usp=drivesdk,0.32,A-REI.B,,
Algebra I,January '16,8,MC,A-SSE,A,Seeing Structure in Expressions,4,7.20%,41.86%,8.29%,42.48%,0.17%,https://docs.google.com/a/newvisions.org/document/d/12xl0jWpPRmIdXUg5HVFZlkkN2dbB2gxe4tbUw5Scy6Q/edit?usp=drivesdk,0.42,A-SSE.A,,
Algebra I,January '16,9,MC,A-SSE,B,Seeing Structure in Expressions,1,49.13%,15.09%,23.52%,12.10%,0.16%,https://docs.google.com/a/newvisions.org/document/d/1FCfKIbbcwZdw6ukyMEjwptxv4QsrPmsrkh29TeYAUTQ/edit?usp=drivesdk,0.49,A-SSE.B,,
Algebra I,January '16,10,MC,A-APR,A,Arithmetic with Polynomials and Rational Expressions,3,18.37%,34.88%,31.92%,14.46%,0.37%,https://docs.google.com/a/newvisions.org/document/d/1wZPKrogL40DDvPFHeVhOKHK6jYAOAsRZd6Ptx3Jvgyk/edit?usp=drivesdk,0.32,A-APR.A,,
Algebra I,January '16,11,MC,A-CED,A,Creating Equations,2,38.80%,37.14%,12.51%,10.99%,0.56%,https://docs.google.com/a/newvisions.org/document/d/1Zwsfh6AL3Jn90f1SVzVGuaV3OAvBQpsFAfmk5q3gRE0/edit?usp=drivesdk,0.37,A-CED.A,,
Algebra I,January '16,12,MC,A-SSE,A,Seeing Structure in Expressions,3,18.25%,20.16%,44.52%,16.79%,0.28%,https://docs.google.com/a/newvisions.org/document/d/1LVaVgbdlWi_WU_ucA1IFR-7kl_LKNROwzqp6cEt5dQ4/edit?usp=drivesdk,0.45,A-SSE.A,,
Algebra I,January '16,13,MC,F-IF,B,Interpreting Functions,4,7.57%,7.19%,11.90%,73.18%,0.15%,https://docs.google.com/a/newvisions.org/document/d/1IOMc8u7HW_ZVu2Vb_cDDBOqAjarcFeHxKRvayXGvkck/edit?usp=drivesdk,0.73,F-IF.B,,
Algebra I,January '16,14,MC,A-REI,B,Reasoning with Equations and Inequalities,2,31.99%,35.04%,22.15%,10.28%,0.54%,https://docs.google.com/a/newvisions.org/document/d/1BwIAhM8oQsZgRd82ykdiX-K5ElFZalzvzKLGBpiKQic/edit?usp=drivesdk,0.35,A-REI.B,,
Algebra I,January '16,15,MC,F-IF,B,Interpreting Functions,1,21.98%,37.06%,22.54%,18.27%,0.15%,https://docs.google.com/a/newvisions.org/document/d/1T4LdMJGpRCrtwH3qZ6x0_1kgweQynhJFxmm0mzMiURk/edit?usp=drivesdk,0.22,F-IF.B,,
Algebra I,January '16,16,MC,F-LE,A,"Linear, Quadratic, and Exponential Models",4,22.12%,15.16%,12.40%,50.16%,0.15%,https://docs.google.com/a/newvisions.org/document/d/1yjWBXn5I2N2eauy5wBGLItwe8vAVeZkk6e_7WeE01dM/edit?usp=drivesdk,0.50,F-LE.A,,
Algebra I,January '16,17,MC,A-REI,D,Reasoning with Equations and Inequalities,1,37.66%,20.56%,24.59%,16.96%,0.24%,https://docs.google.com/a/newvisions.org/document/d/1l9ooKt-rzOuG3ARzqAgK_I9c7C6RwjMUYoBe40oG198/edit?usp=drivesdk,0.38,A-REI.D,,
Algebra I,January '16,18,MC,F-IF,A,Interpreting Functions,3,25.29%,19.93%,40.75%,13.68%,0.35%,https://docs.google.com/a/newvisions.org/document/d/1CUAYnbZnI2KiyvTfhD0MV8vZeDJSTC1TgvAci1-BIwE/edit?usp=drivesdk,0.41,F-IF.A,,
Algebra I,January '16,19,MC,F-IF,A,Interpreting Functions,2,15.03%,29.77%,25.47%,29.39%,0.34%,https://docs.google.com/a/newvisions.org/document/d/1fu-gHPJaNOUR8ii-wXI6-5N2nCa19uK23X7Ly8ZtIZA/edit?usp=drivesdk,0.30,F-IF.A,,
Algebra I,January '16,20,MC,F-BF,B,Building Functions,1,49.07%,14.18%,26.82%,9.66%,0.27%,https://docs.google.com/a/newvisions.org/document/d/1kHnMfEFWphQSmmRgFFLCuRtP0QtJDjEU9GENYRzPbGM/edit?usp=drivesdk,0.49,F-BF.B,,
Algebra I,January '16,21,MC,A-REI,C,Reasoning with Equations and Inequalities,4,18.51%,18.59%,30.85%,31.62%,0.43%,https://docs.google.com/a/newvisions.org/document/d/1DcQ0VYcrA5DIWaajVklWSmuMVvf7tLE84BPyKXoQmQs/edit?usp=drivesdk,0.32,A-REI.C,,
Algebra I,January '16,22,MC,F-IF,C,Interpreting Functions,3,32.06%,19.22%,35.75%,12.70%,0.27%,https://docs.google.com/a/newvisions.org/document/d/1A5I_MVEG4Pj4KHaXfREAxw3s3bUaOGv7VHrHIj3C660/edit?usp=drivesdk,0.36,F-IF.C,,
Algebra I,January '16,23,MC,F-LE,A,"Linear, Quadratic, and Exponential Models",1,16.60%,20.82%,36.81%,25.37%,0.40%,https://docs.google.com/a/newvisions.org/document/d/1sq8ge1VU_guE1RcQKewABKNc5KhDinWLPBtsuqOKq6Y/edit?usp=drivesdk,0.17,F-LE.A,,
Algebra I,January '16,24,MC,S-ID,B,Interpreting Categorical and Quantitative Data,3,19.20%,12.28%,54.20%,14.03%,0.29%,https://docs.google.com/a/newvisions.org/document/d/1XAn2y4CWcV-CBO3GbnbWhApql7_gYZad2w2ABa9VWLc/edit?usp=drivesdk,0.54,S-ID.B,,
Algebra I,Jan. '17,1,MC,A-SSE,A,Seeing Structure in Expressions,2,8.44%,50.65%,29.46%,11.23%,0.23%,https://docs.google.com/document/d/1Wi4Paw6jwPXhJv1EzqSxkZDNiiT_DVRc4YWP5RhMUtE/edit?usp=sharing,0.51,A-SSE.A,,
Algebra I,Jan. '17,2,MC,A-SSE,B,Seeing Structure in Expressions,3,13.43%,35.02%,42.46%,8.92%,0.16%,https://docs.google.com/document/d/1IAAE26q9K5VuvdGL-rRtMh8x4IqOt2W22q6pNtA1Rs8/edit?usp=sharing,0.42,A-SSE.B,,
Algebra I,Jan. '17,3,MC,S-ID,C,Interpreting Categorical and Quantitative Data,4,7.15%,35.44%,10.87%,46.38%,0.16%,https://docs.google.com/document/d/1NJpwrAQJKgHJtu2z7IGVdg210KMVLZB_JetlTNsx0_k/edit?usp=sharing,0.46,S-ID.C,,
Algebra I,Jan. '17,4,MC,A-CED,A,Creating Equations,3,11.54%,16.20%,58.53%,13.37%,0.36%,https://docs.google.com/document/d/1QcEpF2Rwur1-uhYGWPSr36CpgY874rIh2UJCDdtU5xs/edit?usp=sharing,0.59,A-CED.A,,
Algebra I,Jan. '17,5,MC,S-ID,B,Interpreting Categorical and Quantitative Data,2,41.42%,40.66%,11.80%,5.89%,0.23%,https://docs.google.com/document/d/1efNKUQqgpTF_bTo_Zs0TEjW0khR4fu3v_BWXO-P1XDY/edit?usp=sharing,0.41,S-ID.B,,
Algebra I,Jan. '17,6,MC,A-APR,B,Arithmetic with Polynomials and Rational Expressions,4,8.74%,11.41%,9.10%,70.41%,0.34%,https://docs.google.com/document/d/1CFsb4Dwo_nVCdWc2sQaRCIafRQyGZNkDMSPLI0Rgys0/edit?usp=sharing,0.70,A-APR.B,,
Algebra I,Jan. '17,7,MC,A-APR,A,Arithmetic with Polynomials and Rational Expressions,4,12.63%,24.91%,16.69%,45.41%,0.36%,https://docs.google.com/document/d/1GdIabYC-tMjA6QPb1RmJ8wPl6vyxCJ-xYaZiHWH4zKA/edit?usp=sharing,0.45,A-APR.A,,
Algebra I,Jan. '17,8,MC,F-IF,A,Interpreting Functions,1,48.50%,18.65%,20.31%,12.14%,0.39%,https://docs.google.com/document/d/1b6EllMh4bCnlBYUE3Fv0fVoyOXGrsu2b1-HglnCacPs/edit?usp=sharing,0.49,F-IF.A,,
Algebra I,Jan. '17,9,MC,A-SSE,A,Seeing Structure in Expressions,2,11.13%,36.44%,14.87%,37.42%,0.13%,https://docs.google.com/document/d/1obamhrivDiF4p_jFSp3RZWwH4CoGJAXBknLfzyMNxLE/edit?usp=sharing,0.36,A-SSE.A,,
Algebra I,Jan. '17,10,MC,F-IF,A,Interpreting Functions,1,42.19%,25.00%,16.92%,15.58%,0.31%,https://docs.google.com/document/d/1zgc5k-HUxB1CyDllN4jGORIaUMdsE6jKhSubzlY5LCI/edit?usp=sharing,0.42,F-IF.A,,
Algebra I,Jan. '17,11,MC,F-LE,A,"Linear, Quadratic, and Exponential Models",3,18.51%,18.13%,43.69%,19.44%,0.23%,https://docs.google.com/document/d/1-Z8IBRnZMNe3YkEmAVyvoWsuUIxmR-WFZuE64u1wSWE/edit?usp=sharing,0.44,F-LE.A,,
Algebra I,Jan. '17,12,MC,F-IF,C,Interpreting Functions,1,42.71%,17.79%,16.51%,22.68%,0.31%,https://docs.google.com/document/d/1YQJghrm7PhQ_1CAafEt4zjJmlS1Mpn5J4QHYIgFjZ8A/edit?usp=sharing,0.43,F-IF.C,,
Algebra I,Jan. '17,13,MC,S-ID,C,Interpreting Categorical and Quantitative Data,2,23.06%,40.42%,16.17%,20.13%,0.23%,https://docs.google.com/document/d/1fyZhoARh7r-QcKB3-0v7v7KcmSsSiAgBifdhvXDw-Jg/edit?usp=sharing,0.40,S-ID.C,,
Algebra I,Jan. '17,14,MC,A-SSE,B,Seeing Structure in Expressions,2,13.91%,39.55%,23.81%,22.37%,0.36%,https://docs.google.com/document/d/1incbUOQRJmWAjCe6fGXLp1E6AIcfhYyrI9Z2WrrxlgQ/edit?usp=sharing,0.40,A-SSE.B,,
Algebra I,Jan. '17,15,MC,A-REI,B,Reasoning with Equations and Inequalities,4,14.15%,24.15%,25.05%,36.38%,0.26%,https://docs.google.com/document/d/1ugpwrDQP_qKFTYE99z3fdrOVodJZyvkQH050ylr73iQ/edit?usp=sharing,0.36,A-REI.B,,
Algebra I,Jan. '17,16,MC,A-REI,D,Reasoning with Equations and Inequalities,4,18.75%,22.97%,18.38%,39.52%,0.38%,https://docs.google.com/document/d/1sY31pcgLSktaomv4QhKgIe3_9s5R20cBiE0eM5n4yeM/edit?usp=sharing,0.40,A-REI.D,,
Algebra I,Jan. '17,17,MC,F-BF,B,Building Functions,2,39.14%,37.21%,14.76%,8.62%,0.26%,https://docs.google.com/document/d/1p8c-7taOEtn5_a6nzE8yCyxxTinU2wMdp3BO1zzPGnQ/edit?usp=sharing,0.37,F-BF.B,,
Algebra I,Jan. '17,18,MC,F-BF,A,Building Functions,4,33.86%,10.85%,21.32%,33.79%,0.18%,https://docs.google.com/document/d/1YXRmxSvIAKdovVJDbhG_4Pw5vBpG78_NvznHXw7QVf4/edit?usp=sharing,0.34,F-BF.A,,
Algebra I,Jan. '17,19,MC,F-IF,B,Interpreting Functions,4,18.00%,25.20%,21.81%,34.68%,0.31%,https://docs.google.com/document/d/18_Y2rX6P-blHc31Z4iZdAVj7CJ_B9CCwVNmX6S-M_do/edit?usp=sharing,0.35,F-IF.B,,
Algebra I,Jan. '17,20,MC,S-ID,A,Interpreting Categorical and Quantitative Data,4,7.71%,17.67%,22.57%,51.66%,0.39%,https://docs.google.com/document/d/16dRNFtIuAAyekLBhGDNJS7_xq-vIwKdkacxrjLz3hZw/edit?usp=sharing,0.52,S-ID.A,,
Algebra I,Jan. '17,21,MC,F-IF,B,Interpreting Functions,1,50.06%,17.36%,14.66%,17.69%,0.23%,https://docs.google.com/document/d/1oS1EyHV23NmY0EAwo7bpIpjyTs2AWSIa-yiQKADLzIc/edit?usp=sharing,0.50,F-IF.B,,
Algebra I,Jan. '17,22,MC,A-REI,B,Reasoning with Equations and Inequalities,1,32.07%,30.00%,24.50%,13.03%,0.41%,https://docs.google.com/document/d/1Lb7SOqdJ3ZIaI-YtUnSmUy544LXoVO--Qy1zMrcMpko/edit?usp=sharing,0.32,A-REI.B,,
Algebra I,Jan. '17,23,MC,F-IF,C,Interpreting Functions,2,29.26%,22.55%,26.25%,21.71%,0.23%,https://docs.google.com/document/d/1a6cKe-WbWkUqJMaT_Pso3zo_Di2ls7HMfn-21UfzWhU/edit?usp=sharing,0.23,F-IF.C,,
Algebra I,Jan. '17,24,MC,F-LE,B,"Linear, Quadratic, and Exponential Models",3,22.22%,17.20%,44.82%,15.30%,0.46%,https://docs.google.com/document/d/17bUkygFsOuBuIVUzD7YqxsFVbPgBY17eorCXLoq57JE/edit?usp=sharing,0.45,F-LE.B,,
Algebra I,January '18,1,MC,A-REI,A,Reasoning with Equations and Inequalities,4,9.38%,10.26%,9.07%,71.20%,0.08%,https://docs.google.com/document/d/1WV_p5_FUSHpfi0Bs7Ece0kBfhmmvj6OKowfp1ebq8IM/edit?usp=drivesdk,0.71,A-REI.A,,
Algebra I,January '18,2,MC,F-LE,A,"Linear, Quadratic, and Exponential Models",3,14.64%,6.94%,75.00%,3.15%,0.27%,https://docs.google.com/document/d/1ZTB_3xufxClSuA75tEQkbM20JdoFXw-wVmHDl_hj8Fc/edit?usp=drivesdk,0.75,F-LE.A,,
Algebra I,January '18,3,MC,A-CED,A,Creating Equations,1,64.24%,6.70%,24.93%,3.95%,0.17%,https://docs.google.com/document/d/1WMpe6KjqwXLDfVmvK2d0otfTf3I6lh83Q9nMnXxjZEs/edit?usp=drivesdk,0.64,A-CED.A,,
Algebra I,January '18,4,MC,F-IF,A,Interpreting Functions,2,24.75%,51.61%,11.66%,11.64%,0.34%,https://docs.google.com/document/d/1MC57olPF_1KJM2scwTmV1PrspSdJQv1u5N-caLL3bs4/edit?usp=drivesdk,0.52,F-IF.A,,
Algebra I,January '18,5,MC,F-LE,A,"Linear, Quadratic, and Exponential Models",1,61.17%,24.64%,8.16%,5.84%,0.19%,https://docs.google.com/document/d/1vjMV4mrjL5Yp4paqy6aklVEiApzlYvBcUFpzvGSz4NQ/edit?usp=drivesdk,0.61,F-LE.A,,
Algebra I,January '18,6,MC,A-REI,D,Reasoning with Equations and Inequalities,4,18.81%,10.02%,11.90%,58.88%,0.38%,https://docs.google.com/document/d/1o5LbxhMLL47oIIbQgOR_qc6zoLhN5U7ydnbidZXagtw/edit?usp=drivesdk,0.59,A-REI.D,,
Algebra I,January '18,7,MC,F-LE,B,"Linear, Quadratic, and Exponential Models",4,14.99%,5.30%,12.23%,67.11%,0.37%,https://docs.google.com/document/d/1vY0CasjQf6P5KbMnI9l7fDgO3stEhq-JK-bGAHysVGM/edit?usp=drivesdk,0.67,F-LE.B,,
Algebra I,January '18,8,MC,N-RN,B,The Real Number System,3,13.31%,18.10%,55.15%,13.17%,0.26%,https://docs.google.com/document/d/18wOw74M_h-brWB_Gq12XaiuSyj0QIVVKaJjOqu1jazI/edit?usp=drivesdk,0.55,N-RN.B,,
Algebra I,January '18,9,MC,A-SSE,A,Seeing Structure in Expressions,3,19.80%,11.52%,56.60%,12.01%,0.06%,https://docs.google.com/document/d/1YxSybINEGCcOlj8i79ZK9zAYP9YYn3gPSa7EM93uVN8/edit?usp=drivesdk,0.57,A-SSE.A,,
Algebra I,January '18,10,MC,A-REI,D,Reasoning with Equations and Inequalities,3,19.74%,21.75%,43.07%,14.81%,0.63%,https://docs.google.com/document/d/1X-O8hN7oDgPkEwlmmd48Y5Yj_LOdS8qlKb1-LBhI3M0/edit?usp=drivesdk,0.43,A-REI.D,,
Algebra I,January '18,11,MC,A-SSE,A,Seeing Structure in Expressions,2,12.21%,49.95%,20.22%,17.34%,0.28%,https://docs.google.com/document/d/1bFSwU7xMRuwsfC-EUM6sEu52_HJGKR_U_dXLDox1c7A/edit?usp=drivesdk,0.50,A-SSE.A,,
Algebra I,January '18,12,MC,F-IF,A,Interpreting Functions,3,12.94%,21.21%,55.50%,9.84%,0.51%,https://docs.google.com/document/d/1jRcsTS0uqPpYNyq1xn0bb6VN8_jqJQ8-7ReLMEBeJII/edit?usp=drivesdk,0.56,F-IF.A,,
Algebra I,January '18,13,MC,A-APR,A,Arithmetic with Polynomials and Rational Expressions,3,30.86%,11.78%,37.97%,19.07%,0.33%,https://docs.google.com/document/d/1VfkAPGRXMgMvkH2G6KF4vhwBZQxMnViZOBlHgwYi11k/edit?usp=drivesdk,0.38,A-APR.A,,
Algebra I,January '18,14,MC,A-REI,B,Reasoning with Equations and Inequalities,1,44.32%,15.18%,24.77%,15.12%,0.60%,https://docs.google.com/document/d/1_x15jDnP_hRQ2nNWK4J9Jag_MrQtBVTq0a21ASwJcHs/edit?usp=drivesdk,0.44,A-REI.B,,
Algebra I,January '18,15,MC,A-REI,C,Reasoning with Equations and Inequalities,2,12.07%,40.14%,21.34%,26.03%,0.42%,https://docs.google.com/document/d/1hWbwsVBLQaGt5tMF_KvHJHrh33iXfiByQjDpZM7QzbY/edit?usp=drivesdk,0.40,A-REI.C,,
Algebra I,January '18,16,MC,S-ID,A,Interpreting Categorical and Quantitative Data,1,32.66%,30.68%,18.11%,18.42%,0.13%,https://docs.google.com/document/d/1s341_krt3Bqzp3KSxxMvJKJB6_O_Ts7Ie4szJRj8guA/edit?usp=drivesdk,0.33,S-ID.A,,
Algebra I,January '18,17,MC,A-REI,B,Reasoning with Equations and Inequalities,2,19.91%,34.07%,27.57%,18.07%,0.39%,https://docs.google.com/document/d/17Ftaa60P_FUDbX5fZNopEhQOohMVztv9STK0wOyVZLk/edit?usp=drivesdk,0.34,A-REI.B,,
Algebra I,January '18,18,MC,F-IF,A,Interpreting Functions,3,23.49%,22.61%,40.16%,13.37%,0.37%,https://docs.google.com/document/d/1qZm7zX6xoAlAKaEnbXJ-mBp9Awf15X1zL8IQPPrnJeg/edit?usp=drivesdk,0.40,F-IF.A,,
Algebra I,January '18,19,MC,F-BF,B,Building Functions,2,25.36%,35.50%,13.34%,25.40%,0.40%,https://docs.google.com/document/d/1ugfUGfB-0aWkiUlafgCCUcGNxKnqWTaePj3J4WJW3Po/edit?usp=drivesdk,0.36,F-BF.B,,
Algebra I,January '18,20,MC,A-REI,D,Reasoning with Equations and Inequalities,3,21.80%,18.96%,30.57%,28.03%,0.64%,https://docs.google.com/document/d/1UnUq7xu47OCu7J6KNQf56A0zaADeGMhaMo2NEzyyZeE/edit?usp=drivesdk,0.31,A-REI.D,,
Algebra I,January '18,21,MC,A-SSE,B,Seeing Structure in Expressions,4,32.04%,21.85%,25.77%,19.91%,0.43%,https://docs.google.com/document/d/1svDrkRcGJfFu-xNxluSLQZiNX5SeMRVYVBpkOjsjwgI/edit?usp=drivesdk,0.20,A-SSE.B,,
Algebra I,January '18,22,MC,A-REI,B,Reasoning with Equations and Inequalities,4,18.46%,31.90%,16.60%,32.40%,0.64%,https://docs.google.com/document/d/1IpN3pGl4Kv9xePVt0_z10OedmbmZcfkDoMCUeduW8LQ/edit?usp=drivesdk,0.32,A-REI.B,,
Algebra I,January '18,23,MC,F-IF,C,Interpreting Functions,2,23.10%,26.53%,32.18%,17.75%,0.44%,https://docs.google.com/document/d/19XXkFIiF74uU86gb-JPZNi0ivATRgpjKnYbI5aKW0J8/edit?usp=drivesdk,0.27,F-IF.C,,
Algebra I,January '18,24,MC,F-IF,B,Interpreting Functions,2,19.30%,35.57%,18.37%,26.31%,0.45%,https://docs.google.com/document/d/1BqYW6UvJPDAR8qv8PtAEQB_-oa-EQTotDVBAWP8IqBM/edit?usp=drivesdk,0.36,F-IF.B,,
